Name,Site Name,Speciality 1,Speciality 2,Day Reg Planned Hrs,Day Reg Actual Hrs,Day Unreg Planned Hrs,Day Unreg Actual Hrs,Night Reg Planned Hrs,Night Reg Actual Hrs,Night Unreg Planned Hrs,Night Unreg Actual Hrs,Patient Count At Midnight,Missing Census Count,Division,Month,,,
M - Breast Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - Colorectal Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - Critical Care Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - ENT Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - General Surgery On Call Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - NICU Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - Obs & Gynae Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - Orthodontics Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - Paediatric Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - T&O Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - Urology Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - Vascular Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
MacMillan Social Work,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Maternity Administration,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Maternity Managers On Call,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Maternity Managers Weekends & Lates,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Maxillofacial,Medway NHS,-,,750,375,"1,728.50","1,283.00",0,0,0,0,0,0,Planned,01/04/2020,,,
Medical Records,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Acute Response Team (CCO),Medway NHS,-,,771,617,0,0,915,705,0,0,0,0,Planned,01/04/2020,,,
N - Arethusa SAU,Medway NHS,-,,"1,869.00","1,852.00","1,133.50","1,129.00","1,599.00","1,359.42",660,726.5,296,25,Planned,01/04/2020,,,
N - Bronte,Medway NHS,-,,"1,168.50",746,806.98,707.98,990,762.5,671,648.25,350,2,Planned,01/04/2020,,,
N - Childrens Diabetes,Medway NHS,-,,"1,210.00",931,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Coast2,Medway NHS,-,,"1,281.50","1,179.50",0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Community Midwives - All Saints,Medway NHS,-,,"1,483.50","1,144.83",187,119,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Community Midwives - Castle,Medway NHS,-,,"1,463.50","1,346.25",165,0,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Community Midwives - Riverside,Medway NHS,-,,"1,487.50","1,178.75",374,62.08,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Community Midwives - Swale,Medway NHS,-,,"1,513.75","1,257.25",165,102.5,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Continuing Care Paediatrics,Medway NHS,-,,"2,492.50",332.75,140.5,402.5,255,399,255,"1,392.00",0,0,Planned,01/04/2020,,,
N - Critical Care,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Delivery Suite,Medway NHS,-,,"2,830.50","2,826.08",699.17,696.67,"2,804.50","2,809.17",390.5,389.25,0,30,Planned,01/04/2020,,,
N - ENT Treatment Room,Medway NHS,-,,90,110,295.5,380,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Fetal Midwives,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Galton Day Unit,Medway NHS,-,,"1,586.50","1,226.75",912,713,0,0,0,0,0,0,Planned,01/04/2020,,,
N - General HDU,Medway NHS,-,,"2,705.95","1,251.45",435,159.75,"2,461.25","1,145.00",325,172.5,147,5,Planned,01/04/2020,,,
N - ICU,Medway NHS,-,,"5,175.25","5,962.67",486.75,245.75,"4,792.25","5,268.75",663.75,405.25,508,8,Planned,01/04/2020,,,
N - Kent Ward,Medway NHS,-,,"1,385.50","1,403.33",711.17,719.5,"1,065.00","1,065.00",662.67,650.83,0,0,Planned,01/04/2020,,,
N - Kingfisher Ward,Medway NHS,Gynaecology,,880,721.5,637,398.5,621.25,286.25,325,143,74,43,Planned,01/04/2020,,,
N - Lawrence Ward,Medway NHS,-,,"1,089.00","1,032.92","1,111.50","1,036.00","1,001.25",882.75,"1,001.25",945,238,3,Planned,01/04/2020,,,
N - Main Theatres,Medway NHS,-,,"8,267.50","7,284.00","3,418.50","1,907.50","2,357.50","3,130.50",655.5,644,0,0,Planned,01/04/2020,,,
N - Maternity Care Unit and Antenatal Clinic,Medway NHS,-,,714.92,693.42,790.15,750.58,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Medical HDU,Medway NHS,-,,"2,769.00",402.58,443.5,42,"2,168.75",375,802.5,164.25,48,38,Planned,01/04/2020,,,
N - NICU Nursing,Medway NHS,-,,"4,239.20","4,172.55",363,161,"4,508.00","4,462.33",0,23,0,29,Planned,01/04/2020,,,
N - NIPE,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Outpatients,Medway NHS,-,,"2,839.50","2,176.00","6,655.75","3,130.25",0,0,0,0,0,0,Planned,01/04/2020,,,
N - Paediatric Magpie Play,Medway NHS,-,,0,0,397.5,200.5,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Paediatrics Unit,Medway NHS,-,,"2,698.25","1,863.50",700.5,876.25,"2,058.50","1,690.50",345,471.5,159,19,Planned,01/04/2020,,,
N - Pearl Ward,Medway NHS,-,,"1,064.75","1,057.50",710,709.92,"1,065.00","1,070.67",355,351.67,0,0,Planned,01/04/2020,,,
N - Pembroke Ward,Medway NHS,-,,"1,855.48","1,594.98","1,416.00","1,273.50","1,650.00","1,375.00",990,748,479,6,Planned,01/04/2020,,,
N - Phoenix Ward,Medway NHS,-,,"1,863.50","1,682.50","1,215.50","1,018.00","1,298.00","1,223.00",989.5,880,308,15,Planned,01/04/2020,,,
N - Recovery Theatre,Medway NHS,-,,"1,439.50",966,0,0,994,"1,202.00",0,0,0,0,Planned,01/04/2020,,,
N - SDCC,Medway NHS,-,,"2,483.00","1,121.25","1,254.00",877.25,0,527.25,0,308,307,8,Planned,01/04/2020,,,
N - Sunderland Theatre,Medway NHS,-,,"4,282.98","2,971.48",848,652.5,0,0,0,0,0,0,Planned,01/04/2020,,,
N - Team Connect,Medway NHS,-,,195.5,52,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
N - The Birth Place,Medway NHS,-,,"1,066.92","1,033.25",355,353.75,"1,065.00","1,029.67",355,343.17,0,30,Planned,01/04/2020,,,
N - Victory Ward,Medway NHS,-,,"2,053.50",831.5,"1,257.00",585.98,"1,650.00",715,660,374.25,62,47,Planned,01/04/2020,,,
NICU Administration,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Not in Use: PSC Team 4,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Obstetric Theatre,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Orthodontics Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Orthopaedics Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Orthotics,Medway NHS,-,,165,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Paediatrics Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Paediatrics Ward Clerks,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Planned Care Senior Nurse & Bleep,Medway NHS,-,,165,54.67,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Plaster Room,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
POCU,Medway NHS,-,,441,366.5,235,60,0,0,0,0,0,0,Planned,01/04/2020,,,
Pre Assessment,Medway NHS,-,,"1,372.50",493.75,750.5,267.5,0,0,0,0,0,0,Planned,01/04/2020,,,
PSC Outpatient Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
PSC Team 1,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
PSC Team 3,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Resus Training Nurses,Medway NHS,-,,660,293,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
School Nursing,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Special Needs Nurseries,Medway NHS,-,,592.5,337.5,990,285,0,0,0,0,0,0,Planned,01/04/2020,,,
Specialist Midwives,Medway NHS,-,,"1,654.75","1,606.42",0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Surgery MGMT Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Theatre Receptionists,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Theatres Support Staff,Medway NHS,-,,0,0,"2,439.00","1,435.00",0,0,225,210,0,0,Planned,01/04/2020,,,
Urology Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Vascular Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Womens & Childrens Administration Team,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Acute Medicine Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Biochemistry,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Breast Unit,Medway NHS,-,,0,0,165,52.5,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Cardiac Nurse Specialists,Medway NHS,-,,"1,155.00",805,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Cardiology Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Cardiorespiratory Staff,Medway NHS,-,,"2,388.00","2,026.33",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
CT Suite,Medway NHS,-,,"1,927.50","1,660.47",0,0,345,343.5,0,0,0,0,Unplanned,01/04/2020,,,
Dermatology,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Dermatology Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Diabetes Care Nurses,Medway NHS,-,,600,354.5,330,233.5,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Dietetics,Medway NHS,-,,"1,708.00","1,515.00",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
ED Admin Ops,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Elderly Care Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Emergency Department (Admin Staff),Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Endoscopy Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Frailty Nurses,Medway NHS,-,,703,599,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Gastro Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Gastro CNS,Medway NHS,-,,495,251.75,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
General Imaging,Medway NHS,-,,"6,725.50","4,689.00",0,0,"1,078.00","1,017.00",0,0,0,0,Unplanned,01/04/2020,,,
Haematology,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Haematology Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Hospital at Home,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Imaging Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Imaging Mgmt and Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Imaging PACS,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Imaging Ultrasound,Medway NHS,-,,"1,855.50",775.08,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
M - Acute Physicians Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
M - CHED Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
M - ED Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
M - Gen Med Consultants,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
M - Gen Med Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
M - Haematology Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
M - Imaging Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
M - Pathology Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Medical Infusion Suite,Medway NHS,-,,874,559.5,418,140.5,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Medicine Management & Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Medicine Matrons and Senior Bleep,Medway NHS,-,,"1,088.00",335,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Microbiology,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Mortuary,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
MRI Team,Medway NHS,-,,"1,612.50","1,580.00",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - ADL,Medway NHS,-,,"1,137.00",492,"1,140.00",856.25,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - Byron Ward,Medway NHS,-,,"1,537.50","1,145.00","1,123.50","1,223.47","1,035.00",978.75,978.75,"1,038.50",386,17,Unplanned,01/04/2020,,,
N - Cardiac Catheter Suite,Medway NHS,-,,"1,130.50","1,041.00",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - CCU,Medway NHS,-,,808.5,392,228,210.5,690,367.75,0,34,51,11,Unplanned,01/04/2020,,,
N - CDU,Medway NHS,-,,"1,035.00",0,690,0,"1,035.00",0,690,0,0,0,Unplanned,01/04/2020,,,
N - Clinical Site Team,Medway NHS,-,,690,632.5,34,11,690,687,286,168,0,0,Unplanned,01/04/2020,,,
N - Dickens Ward,Medway NHS,-,,"1,800.00",0,"1,350.00",0,990,0,660,0,0,60,Unplanned,01/04/2020,,,
N - Discharge Team,Medway NHS,-,,723,827.17,459.5,431.25,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - Emerald AAU,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - Emerald Ward,Medway NHS,-,,"1,521.00","1,214.00","1,527.00","1,172.50",979,936,990,891,357,7,Unplanned,01/04/2020,,,
N - Emergency Department (ENP),Medway NHS,-,,"1,714.50",710,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - Emergency Department (Nursing),Medway NHS,-,,"8,345.30","5,771.25","5,500.00","3,308.00","6,204.50","4,173.00","3,450.00","2,752.58",0,0,Unplanned,01/04/2020,,,
N - Emergency Department (Paediatrics),Medway NHS,-,,"1,501.50","1,451.50",345,322,862.5,988,345,368,0,0,Unplanned,01/04/2020,,,
N - Endoscopy,Medway NHS,-,,"3,439.00","2,197.50",456,268.75,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - Fit Tester Assessor Centre,Medway NHS,-,,82.5,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - Harvey Ward,Medway NHS,-,,"1,548.00","1,202.25","1,543.00","1,410.75","1,012.50",966.75,"1,012.50","1,217.00",631,0,Unplanned,01/04/2020,,,
N - Imaging Clinical Support,Medway NHS,-,,166.5,0,"2,602.50","1,893.50",0,0,330,319,0,0,Unplanned,01/04/2020,,,
N - Interventional Radiology Nursing,Medway NHS,-,,"1,360.00","1,011.25",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - Jade Ward,Medway NHS,-,,"1,597.47","1,077.00","1,113.00","1,153.00",967.5,900.5,900,"1,047.25",450,9,Unplanned,01/04/2020,,,
N - Keats Ward,Medway NHS,-,,"1,555.00","1,105.75","1,199.25","1,151.50",968,738.5,979,"1,003.00",353,2,Unplanned,01/04/2020,,,
N - Lister Assessment Unit,Medway NHS,-,,"2,397.25","1,575.75","1,546.60","1,356.23","1,350.00","1,012.00","1,012.50","1,007.25",19,73,Unplanned,01/04/2020,,,
N - McCulloch Ward,Medway NHS,-,,"2,562.00","1,571.25","1,869.75","1,376.75","2,271.75","1,369.25","1,621.50","1,068.75",277,13,Unplanned,01/04/2020,,,
N - Milton Ward,Medway NHS,-,,"1,629.00",950.67,"1,605.50","1,201.50","1,012.50",935.17,"1,012.50",894,293,28,Unplanned,01/04/2020,,,
N - Nelson Ward,Medway NHS,-,,"1,626.00",719.5,"1,264.50",774.5,990,519.75,649,452,179,9,Unplanned,01/04/2020,,,
N - Nuclear Medicine Nursing,Medway NHS,-,,450,315,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - Sapphire Ward,Medway NHS,-,,"1,491.17","1,289.67","1,516.50","1,130.50","1,309.00","1,027.25",990,858,162,27,Unplanned,01/04/2020,,,
N - SDEC,Medway NHS,-,,"1,701.75","1,116.00",878.25,516,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - SMART,Medway NHS,-,,"2,785.50","1,767.75",285,137,0,0,0,0,0,0,Unplanned,01/04/2020,,,
N - Tennyson Ward,Medway NHS,-,,"1,564.50","1,092.08","1,121.98","1,225.47",990,817,990,990,665,0,Unplanned,01/04/2020,,,
N - Will Adams Ward,Medway NHS,-,,"1,441.00","1,424.00","1,186.50","1,235.50",990,"1,079.00",968,"1,211.00",480,0,Unplanned,01/04/2020,,,
Neurology Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Neurology CNS,Medway NHS,-,,660,429.17,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Nuclear Medicine Sci and Tech,Medway NHS,-,,"2,377.50","1,987.50",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Osteoporosis Unit,Medway NHS,-,,592,432.5,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Pathology MGMT,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Pathology Reception,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Patient Affairs Team,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Pharmacy,Medway NHS,-,,"12,066.00","11,622.93",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Phlebotomy,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Rapid Testing Team,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Respiratory & Sleep Dept,Medway NHS,-,,"1,488.00","1,025.25",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Respiratory Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Respiratory Team,Medway NHS,-,,920.25,"1,009.80",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Rheumatology Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Rheumatology CNS,Medway NHS,-,,495,332.75,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Senior Manager On Call,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Standards and Practice,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Stroke Nurses,Medway NHS,-,,"1,033.00",650.5,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
The Typing Pool,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Therapies,Medway NHS,-,,"11,491.00","10,918.70",0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
Trust Ward Clerks,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
VTE Specialist Nurses,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/04/2020,,,
ACCP,Medway NHS,-,,"1,302.00",0,0,0,356.5,0,0,0,0,0,Planned,01/05/2020,,,
Anaesthetics & Pain Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Audiology Dept,Medway NHS,-,,"1,757.50",675.25,788.5,273.75,0,0,0,0,0,0,Planned,01/05/2020,,,
Cancer Services Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Cancer Services CNS,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Children's Community Learning Disabilities Team,Medway NHS,-,,"1,950.00",57,157.5,97.5,0,0,0,0,0,0,Planned,01/05/2020,,,
Co-ordinated Care Specialist Nurses,Medway NHS,-,,"2,722.50","1,368.75",0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Colposcopy,Medway NHS,-,,549.5,380.5,352.5,264.5,0,0,0,0,0,0,Planned,01/05/2020,,,
Community Paediatric Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
ENT Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Galton Day Unit Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
General Surgery Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Gynaecology Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Looked After Children,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - Anaesthetics Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - Breast Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - Colorectal Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - Critical Care Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - ENT Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - General Surgery On Call Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - NICU Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - Obs & Gynae Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - Orthodontics Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - Paediatric Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - T&O Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - Urology Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
M - Vascular Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
MacMillan Social Work,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Maternity Administration,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Maternity Managers On Call,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Maternity Managers Weekends & Lates,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
Maxillofacial,Medway NHS,-,,720,227,"1,588.00",887,0,0,0,0,0,0,Planned,01/05/2020,,,
Medical Records,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
N - Acute Response Team (CCO),Medway NHS,-,,734.5,680,0,0,945.5,855.5,0,0,0,0,Planned,01/05/2020,,,
N - Arethusa SAU,Medway NHS,-,,"1,900.50","1,886.50","1,212.00","1,192.00","1,826.00","1,763.50",704,726,446,14,Planned,01/05/2020,,,
N - Bronte,Medway NHS,-,,"1,275.00",528,865.5,533,"1,022.00",550,682,440,305,9,Planned,01/05/2020,,,
N - Childrens Diabetes,Medway NHS,-,,"1,145.50",798.5,0,0,0,0,0,0,0,0,Planned,01/05/2020,,,
